set,training,validation,test
fold1,0.308026788460009,0.325188645346748,0.469047144856043
fold2,0.3078065013563,0.301373052430215,0.325188645346748
fold3,0.31672163236843,0.302584606751273,0.301373052430215
fold4,0.305475449661468,0.3292415757933,0.302584606751273
fold5,0.307882354661839,0.469047144856043,0.3292415757933
ave.,0.309182545301609,0.345487005035516,0.345487005035516
