set,training,validation,test
fold1,0.983315954118874,0.953125,0.984375
fold2,0.950990615224192,0.940625,0.953125
fold3,0.954118873826903,0.94375,0.940625
fold4,0.980208333333333,0.984326018808777,0.9875
fold5,0.98125,0.984375,0.984326018808777
ave.,0.96997675530066,0.961240203761755,0.969990203761755
