set,training,validation,test
fold1,0.984358706986444,0.984375,0.975
fold2,0.984358706986444,0.975,0.984375
fold3,0.982273201251303,0.990625,0.975
fold4,0.942708333333333,0.968652037617555,0.95
fold5,0.983333333333333,0.975,0.987460815047022
ave.,0.975406456378172,0.978730407523511,0.974367163009404
