set,training,validation,test
fold1,0.718064701582897,0.655511463844797,0.744301994301994
fold2,0.720665904544998,0.669340031084998,0.655511463844797
fold3,0.733980170316063,0.609065039151332,0.669340031084998
fold4,0.690574066317938,0.821992513393501,0.609065039151332
fold5,0.668467326526392,0.744301994301994,0.821992513393501
ave.,0.706350433857658,0.700042208355324,0.700042208355324
