set,training,validation,test
fold1,0.983315954118874,0.984375,0.978125
fold2,0.980187695516163,0.9875,0.984375
fold3,0.94577685088634,0.95,0.959375
fold4,0.945833333333333,0.959247648902821,0.95
fold5,0.955208333333333,0.921875,0.959247648902821
ave.,0.962064433437609,0.960599529780564,0.966224529780564
