set,training,validation,test
fold1,0.955161626694473,0.921875,0.959375
fold2,0.953076120959333,0.965625,0.921875
fold3,0.939520333680918,0.9625,0.965625
fold4,0.984375,0.974921630094044,0.984375
fold5,0.838541666666667,0.8125,0.796238244514107
ave.,0.934134949600278,0.927484326018809,0.925497648902821
