set,training,validation,test
fold1,0.208416501144256,0.659315804353972,0.515064102564103
fold2,0.208869280955026,0.608525173123713,0.707237772123268
fold3,0.193745605460376,0.41260115157174,0.588339883960322
fold4,0.196819331407104,0.513745994265475,0.469479458450047
fold5,0.203672909738024,0.499862637362637,0.51495474222747
ave.,0.202304725740957,0.538810152135508,0.559015191865042
