set,training,validation,test
fold1,0.984358706986444,0.946875,0.94375
fold2,0.994786235662148,0.96875,0.946875
fold3,0.978102189781022,0.9625,0.96875
fold4,0.98125,0.974921630094044,0.99375
fold5,0.99375,0.94375,0.924764890282132
ave.,0.986449426485923,0.959359326018809,0.955577978056426
