set,training,validation,test
fold1,0.981230448383733,0.984375,0.984375
fold2,0.94577685088634,0.95,0.959375
fold3,0.982273201251303,0.975,0.990625
fold4,0.95625,0.940438871473354,0.9375
fold5,0.948958333333333,0.959375,0.940438871473354
ave.,0.962897766770942,0.961837774294671,0.962462774294671
