set,training,validation,test
fold1,0.432310297651633,0.4605006130142,0.559492539326259
fold2,0.422332715241549,0.431379901134704,0.4605006130142
fold3,0.424738009287114,0.452523230065603,0.431379901134704
fold4,0.430504711231631,0.419317972009896,0.452523230065603
fold5,0.448050268098199,0.559492539326259,0.419317972009896
ave.,0.431587200302025,0.464642851110132,0.464642851110132
