set,training,validation,test
fold1,0.856100104275287,0.86875,0.86875
fold2,0.86444212721585,0.85,0.86875
fold3,0.86444212721585,0.8625,0.85
fold4,0.865625,0.855799373040752,0.8625
fold5,0.865625,0.86875,0.855799373040752
ave.,0.863246871741397,0.86115987460815,0.86115987460815
